Timestamp,Where do you tend to keep your phone,Do you tend to keep your phone on your left or right?,"When you keep your phone in a pants pocket, which pocket do you normally use?",Which style pants do you tend to wear?
3/6/2020 22:43:14,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:44:03,Coat/Jacket pocket,Left,,
3/6/2020 22:44:04,On the sofa (at home),Right,Front pocket,Mens
3/6/2020 22:44:40,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:45:46,Pants pocket,Right,Back pocket,Mens
3/6/2020 22:46:23,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:47:13,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:47:57,Purse/Handbag,Right,,
3/6/2020 22:48:06,Coat/Jacket pocket,Right,,
3/6/2020 22:49:08,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:52:22,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:54:19,Pants pocket,Right,Front pocket,Womens
3/6/2020 22:56:07,Pants pocket,Right,Back pocket,Womens
3/6/2020 22:56:45,Coat/Jacket pocket,Right,,
3/6/2020 22:58:34,Pants pocket,Right,Front pocket,Mens
3/6/2020 22:59:56,Coat/Jacket pocket,Right,,
3/6/2020 23:00:43,Pants pocket,Right,Back pocket,Womens
3/6/2020 23:02:49,Pants pocket,Right,Back pocket,Womens
3/6/2020 23:03:00,Purse/Handbag,Right,,
3/6/2020 23:04:48,Pants pocket,Right,Back pocket,Womens
3/6/2020 23:05:11,Pants pocket,Left,Front pocket,Womens
3/6/2020 23:05:32,Coat/Jacket pocket,Left,,
3/6/2020 23:07:17,Pants pocket,Left,Front pocket,Mens
3/6/2020 23:07:27,Pants pocket,Right,Front pocket,Womens
3/6/2020 23:07:41,Coat/Jacket pocket,Right,,
3/6/2020 23:13:26,"Used to be pants pocket, but now phones are too big for women’s pants pockets. So it’s in my hand usually (sometimes purse). ",Right,Other pocket,Womens
3/6/2020 23:15:32,Pants pocket,Right,Front pocket,Mens
3/6/2020 23:16:14,Pants pocket,Right,Front pocket,Mens
3/6/2020 23:22:08,Coat/Jacket pocket,Left,,
3/6/2020 23:22:49,Purse/Handbag,Right,,
3/6/2020 23:23:14,Pants pocket,Right,Back pocket,Womens
3/6/2020 23:27:10,ramalamadamacamanamapamasamazamadingdong,Left,Other pocket,Womens
3/6/2020 23:30:15,Pants pocket,Right,Back pocket,Mens
3/6/2020 23:30:31,Pants pocket,Left,Front pocket,Mens
3/6/2020 23:30:59,Pants pocket,Right,Back pocket,Womens
3/6/2020 23:31:25,Coat/Jacket pocket,Left,,
3/6/2020 23:34:53,Pants pocket,Left,Front pocket,Mens
3/6/2020 23:42:05,Pants pocket,Right,Front pocket,Mens
3/6/2020 23:44:18,Pants pocket,Left,Front pocket,Mens
3/6/2020 23:50:28,Pants pocket,Right,Back pocket,Womens
3/6/2020 23:55:35,Purse/Handbag,Left,,
3/6/2020 23:55:57,Pants pocket,Right,Back pocket,Womens
3/6/2020 23:56:03,Pants pocket,Right,Back pocket,Womens
3/6/2020 23:57:52,Purse/Handbag,Left,,
3/6/2020 23:58:26,Coat/Jacket pocket,Right,,
3/7/2020 0:00:20,Purse/Handbag,Left,,
3/7/2020 0:01:53,Backpack,Left,Back pocket,Womens
3/7/2020 0:02:52,Pants pocket,Right,Back pocket,Womens
3/7/2020 0:03:08,Pants pocket,Right,Front pocket,Mens
3/7/2020 0:03:15,Pants pocket,Right,Back pocket,Womens
3/7/2020 0:04:25,Pants pocket,Right,Front pocket,Mens
3/7/2020 0:05:00,Pants pocket,Right,Front pocket,Mens
3/7/2020 0:06:43,Pants pocket,Right,Front pocket,Mens
3/7/2020 0:08:30,Purse/Handbag,Right,,
3/7/2020 0:11:29,Pants pocket,Left,Back pocket,Womens
3/7/2020 0:12:51,Desk/lap/couch,Right,Front pocket,Womens
3/7/2020 0:14:28,Coat/Jacket pocket,Right,,
3/7/2020 0:15:33,Coat/Jacket pocket,Right,,
3/7/2020 0:16:15,Pants pocket,Right,Front pocket,Womens
3/7/2020 0:16:26,Pants pocket,Left,Front pocket,Mens
3/7/2020 0:17:09,Pants pocket,Right,Back pocket,Womens
3/7/2020 0:17:27,Purse/Handbag,Right,,
3/7/2020 0:18:23,Pants pocket,Left,Front pocket,Womens
3/7/2020 0:22:18,Pants pocket,Right,Back pocket,Womens
3/7/2020 0:22:34,i hold it with my hand,Left,Front pocket,Womens
3/7/2020 0:22:57,Pants pocket,Right,Back pocket,Womens
3/7/2020 0:23:39,Purse/Handbag,Left,,
3/7/2020 0:23:49,Pants pocket,Right,Back pocket,Womens
3/7/2020 0:27:59,Coat/Jacket pocket,Right,,
3/7/2020 0:31:25,Pants pocket,Right,Back pocket,Womens
3/7/2020 0:32:35,hand,Right,Back pocket,Womens
3/7/2020 0:36:50,Pants pocket,Left,Front pocket,Mens
3/7/2020 0:39:22,Pants pocket,Right,Back pocket,Womens
3/7/2020 0:41:08,Pants pocket,Right,Front pocket,Mens
3/7/2020 0:43:14,Coat/Jacket pocket,Left,,
3/7/2020 0:43:29,Pants pocket,Left,Back pocket,Womens
3/7/2020 0:59:14,Pants pocket,Right,Front pocket,Womens
3/7/2020 1:00:07,Pants pocket,Right,Front pocket,Mens
3/7/2020 1:04:18,Pants pocket,Right,Front pocket,Mens
3/7/2020 1:07:51,Purse/Handbag,Right,,
3/7/2020 1:09:18,Pants pocket,Left,Front pocket,Mens
3/7/2020 1:10:33,Hold it in my hand ,Left,Front pocket,Womens
3/7/2020 1:12:59,Purse/Handbag,Left,,
3/7/2020 1:16:50,Pants pocket,Right,Front pocket,Mens
3/7/2020 1:18:12,Pants pocket,Left,Front pocket,Mens
3/7/2020 1:19:40,Purse/Handbag,Right,,
3/7/2020 1:20:19,Pants pocket,Right,Front pocket,Mens
3/7/2020 1:23:46,Pants pocket,Right,Back pocket,Womens
3/7/2020 1:24:18,Pants pocket,Right,Back pocket,Mens
3/7/2020 1:24:30,Purse/Handbag,Right,,
3/7/2020 1:40:09,Pants pocket,Right,Front pocket,Mens
3/7/2020 1:40:45,Pants pocket,Right,Back pocket,Mens
3/7/2020 1:41:44,Purse/Handbag,Right,,
3/7/2020 1:42:10,Pants pocket,Right,Front pocket,Mens
3/7/2020 1:46:13,Pants pocket,Right,Front pocket,Mens
3/7/2020 1:52:27,Pants pocket,Left,Front pocket,Mens
3/7/2020 1:52:40,Purse/Handbag,Left,,
3/7/2020 1:52:47,Pants pocket,Right,Front pocket,Mens
3/7/2020 1:54:41,Pants pocket,Right,Back pocket,Womens
3/7/2020 1:56:14,Pants pocket,Right,Front pocket,Mens
